 ,,,,,
S. No,Name (English),Name (Tamil),Rate,80%-Discount Price,Per.
62.                ,Hydro Bomb (Green),ஹைட்ரோ பாம் (கிரீன்),300,₹ 60.00,1 Box
63.                ,King of King (Green)3000,கிங் ஆஃப் கிங் (கிரீன்) 3000,375,₹ 75.00,1 Box
64.                ,Classic Bomb (Green)5000,கிளாசிக் பாம் (கிரீன்) 5000,500,₹ 100.00,1 Box
65.                ,Head Hunt Bomb,ஹெட் ஹண்ட் பாம்,900,₹ 180.00,1 Box
66.                ,King Raider,கிங் ரைடர்,1500,₹ 300.00,1 Box
67.                ,Mini King Raider,மினி கிங் ரைடர்,750,₹ 150.00,1 Box
68.                ,Bullet Mini,புல்லெட் மினி,125,₹ 25.00,1 Box
69.                ,Outu Pocket (VBM),அவுட்டு பாக்கெட் (VBM),550,₹ 110.00,1 Pkt.
70.                ,4 in 1 Atom Bomp(4pcs),ஹைட்ரோ பாம் (கிரீன்),625,₹ 125.00,1 Box
71.                ,Digital Bomb,டிஜிட்டல் பாம்,1000,₹ 200.00,1 Box
72.                ,Akni Bomb,அக்னி பாம்,1150,₹ 230.00,1 Box
73.                ,100 Beats,100 பீட்ஸ்,225,₹ 45.00,1 Box
74.                ,1K  (S) Angel,1K (S) ஏஞ்சல்,950,₹ 190.00,1 Box
75.                ,2K  (S) Angel,2K (S) ஏஞ்சல்,1900,₹ 380.00,1 Box
76.                ,5K (S) Angel,5K (S) ஏஞ்சல்,4750,₹ 950.00,1 Box
77.                ,10K (S) Angel,10K (S) ஏஞ்சல்,9500,"₹ 1,900.00",1 Box
78.                ,1F (Angel),1F (ஏஞ்சல்),1500,₹ 300.00,1 Box
79.                ,2F (Angel),2F (ஏஞ்சல்),3000,₹ 600.00,1 Box
80.                ,5F (Angel),5F (ஏஞ்சல்),7500,"₹ 1,500.00",1 Box
81.                ,10F (Angel),10F (ஏஞ்சல்),15000,"₹ 3,000.00",1 Box
82.                ,1K  VBM,1K VBM,1750,₹ 350.00,1 Box
83.                ,2K VBM,2K VBM,3500,₹ 700.00,1 Box
84.                ,5K VBM,5K VBM,8750,"₹ 1,750.00",1 Box
85.                ,10K VBM,10K VBM,17500,"₹ 3,500.00",1 Box
86.                ,28 Chorsa,28 சோர்சா,75,₹ 15.00,1 Pkt.
87.                ,28 Gaint,28 ஜையன்ட்,125,₹ 25.00,1 Pkt.
88.                ,56 Gaint,56 ஜையன்ட்,250,₹ 50.00,1 Pkt.
